# This set pulls from the set of fingerprints in reference_fingerprints/pcaps, as well as the 500 most common User Agent/TLS Client Hello pairs
# that Cloudflare labels as "trusted traffic" using internal metrics.
# <browser_name>:<browser_version>:<os_platform>:<os_name>:<os_version>:<device_type>:<quirks>|<tls_version>:<cipher_suites>:<extension_names>:<curves>:<ec_point_fmts>:<http_headers>:<quirks>|<mitm_name>:<mitm_type>:<mitm_grade>
1:56-72:1:2:10:1:|303:~a,2f,35,9c,9d,?1301,?1302,?1303,c013,c014,c02b,c02c,c02f,c030,?cc13,?cc14,cca8,cca9:~0,5,a,b,d,?10,12,?15,17,?1b,23,?29,?2b,?2d,?33,?7550,ff01:1d,17,18:0:*:grease|:0:0
4:60-65:1:2:10:1:|303:1301,1303,1302,c02b,c02f,cca9,cca8,c02c,c030,?c00a,?c009,c013,c014,?33,?39,2f,35,a:0,17,ff01,a,b,?23,10,5,33,?2a,2b,d,2d,?1c,?15,?29:1d,17,18,19,100,101:0:*:|:0:0
2:11:1:2:6:1:|303:~?4,?5,a,13,2f,32,?33,35,38,?39,3c,3d,40,6a,?9c,?9d,?9e,?9f,c009,c00a,c013,c014,c023,c024,c027,?c028,c02b,c02c:~0,?5,a,b,d,?10,?17,?23,?3374,ff01:17,18:0:*:|:0:0
3:12:4:4:12:2:|303:c02c,c02b,c024,c023,c00a,c009,cca9,c030,c02f,c028,c027,c014,c013,cca8,9d,9c,3d,3c,35,2f,c008,c012,a:ff01,0,17,d,5,?3374,12,?10,b,a,?15:1d,17,18,19:0:*:|:0:0
3:8-12:2:3:10:1:|303:~?a,2f,35,?3c,?3d,9c,9d,?c008,c009,c00a,?c012,c013,c014,?c023,?c024,?c027,?c028,c02b,c02c,c02f,c030,cca8,cca9:~?0,5,a,b,d,?10,12,?15,?17,?3374,ff01:1d,17,18,19:0:*:|:0:0
1:70-72:5:4:12:3:|303:~a,2f,35,3c,3d,9c,9d,c008,c009,c00a,c012,c013,c014,c023,c024,c027,c028,c02b,c02c,c02f,c030,cca8,cca9:~0,5,a,b,d,10,12,?15,17,3374,ff01:1d,17,18,19:0:*:|:0:0
3:12:5:4:12:3:gsa|303:c02c,c02b,c024,c023,c00a,c009,cca9,c030,c02f,c028,c027,c014,c013,cca8,9d,9c,3d,3c,35,2f,c008,c012,a:ff01,0,17,d,5,?3374,12,?10,b,a,?15:1d,17,18,19:0:*:|:0:0
3:11:5:4:11:3:|303:c02c,c02b,c024,c023,c00a,c009,cca9,c030,c02f,c028,c027,c014,c013,cca8,9d,9c,3d,3c,35,2f,?c008,?c012,?a:ff01,0,17,d,5,?3374,12,?10,b,a,?15:1d,17,18,19:0:*:|:0:0
1:70-72:1:2:10:1:|303:~a,2f,35,9c,9d,ff,c013,c014,c02b,c02c,c02f,c030:~0,5,a,b,d,f,10,?15,23:17,18:0,1,2:*:|:0:0
1:38:3:5:4:3:|303:~a,2f,35,9c,9d,c009,c00a,c013,c014,c02b,c02c,c02f,c030,cca8,cca9:~0,5,a,b,d,12,17,23,ff01:1d,17,18:0:*:|:0:0
3:9:4:4:9:2:|303:ff,c02c,c02b,c024,c023,c00a,c009,c008,c030,c02f,c028,c027,c014,c013,c012,9d,9c,3d,3c,35,2f,a:0,a,b,d,3374,10,5,12:17,18,19:0:*:|:0:0
