# generated by scripts/gen_mitm_records.sh
# <browser_name>:<browser_version>:<os_platform>:<os_name>:<os_version>:<device_type>:<quirks>|<tls_version>:<cipher_suites>:<extension_names>:<curves>:<ec_point_fmts>:<http_headers>:<quirks>|<mitm_name>:<mitm_type>:<mitm_grade>
1:48:1:2:6.1.0:1:|303:c028,c027,c014,c013,9f,9e,9d,9c,3d,3c,35,2f,c02c,c02b,c024,c023,c00a,c009,6a,40,38,32,a,13:0,a,b,d,17,ff01:17,18:0::|eset-nod32-antivirus-9:1:0
4:44:1:2:6.1.0:1:|303:c028,c027,c014,c013,9f,9e,9d,9c,3d,3c,35,2f,c02c,c02b,c024,c023,c00a,c009,6a,40,38,32,a,13:0,a,b,d,17,ff01:17,18:0::|eset-nod32-antivirus-9:1:0
2:11:1:2:6.1.0:1:|303:c028,c027,c014,c013,9f,9e,9d,9c,3d,3c,35,2f,c02c,c02b,c024,c023,c00a,c009,6a,40,38,32,a,13:0,a,b,d,17,ff01:17,18:0::|eset-nod32-antivirus-9:1:0
1:48:1:2:6.1.0:1:|303:a3,6a,38,88,87,9d,3d,35,84,a2,40,32,45,44,9c,3c,2f,41,13,a,c02b,c009,c023,c02c,c00a,c024,c008,c02f,c013,c027,c030,c014,c028,c012,4,5,ff:0,b,a,23,d,f,15:e,d,19,b,c,18,9,a,16,17,8,6,7,14,15,4,5,12,13,1,2,3,f,10,11:0,1,2::|bitdefender-isecurity-2016:1:0
4:44:1:2:6.1.0:1:|303:a3,6a,38,88,87,9d,3d,35,84,a2,40,32,45,44,9c,3c,2f,41,13,a,c02b,c009,c023,c02c,c00a,c024,c008,c02f,c013,c027,c030,c014,c028,c012,4,5,ff:0,b,a,23,d,f,15:e,d,19,b,c,18,9,a,16,17,8,6,7,14,15,4,5,12,13,1,2,3,f,10,11:0,1,2::|bitdefender-isecurity-2016:1:0
2:11:1:2:6.1.0:1:|303:a3,6a,38,88,87,9d,3d,35,84,a2,40,32,45,44,9c,3c,2f,41,13,a,c02b,c009,c023,c02c,c00a,c024,c008,c02f,c013,c027,c030,c014,c028,c012,4,5,ff:0,b,a,23,d,f,15:e,d,19,b,c,18,9,a,16,17,8,6,7,14,15,4,5,12,13,1,2,3,f,10,11:0,1,2::|bitdefender-isecurity-2016:1:0
1:50:1:2:6.1.0:1:|303:c011,c007,c00c,c002,5,4,3,9a,99,96,15,12,9,14,11,8,c012,c008,c01c,c01b,16,13,c00d,c003,a,7,ff:0,b,a,23,d,f:e,d,19,b,c,18,9,a,16,17,8,6,7,14,15,4,5,12,13,1,2,3,f,10,11:0,1,2::|cybersitter-11.13.1:1:0
4:44:1:2:6.1.0:1:|303:c011,c007,c00c,c002,5,4,3,9a,99,96,15,12,9,14,11,8,c012,c008,c01c,c01b,16,13,c00d,c003,a,7,ff:0,b,a,23,d,f:e,d,19,b,c,18,9,a,16,17,8,6,7,14,15,4,5,12,13,1,2,3,f,10,11:0,1,2::|cybersitter-11.13.1:1:0
2:11:1:2:6.1.0:1:|303:c011,c007,c00c,c002,5,4,3,9a,99,96,15,12,9,14,11,8,c012,c008,c01c,c01b,16,13,c00d,c003,a,7,ff:0,b,a,23,d,f:e,d,19,b,c,18,9,a,16,17,8,6,7,14,15,4,5,12,13,1,2,3,f,10,11:0,1,2::|cybersitter-11.13.1:1:0
1:51:1:2:6.1.0:1:|301:ff,39,38,35,16,13,a,33,32,2f,5,4,15,9:::::|kindergate-3.2.12589.0.1:1:0
2:11:1:2:6.1.0:1:|303:c02b,c02f,9e,c00a,c009,c023,c02c,c024,c013,c014,c027,c007,c011,33,32,40,39,6a,38,9c,3c,2f,3d,35,a,13,5,4,ff:0,b,a,23,d,f:17,19,1c,1b,18,1a,16,e,d,b,c,9,a:0,1,2::|avg-internet-security-2016:1:0
